name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
Nottoway Foundry,1859,Nottoway Foundry,Nottoway Foundry,,Broadsides Collection,"Price List, Machinery and Tools",,,advertisements,https://idn.duke.edu/ark:/87924/r4j09xv6q,advertisement also includes information about coffin making and lumber cutting services.,
"Odd Fellows Hall!  This Monday Afternoon!  January 31st, 1859, At 2 OClock, Will Be Performed, By The Celebrated Cooper Opera Troupe!",1859,"Odd Fellows Hall!  This Monday Afternoon!  January 31st, 1859, At 2 OClock, Will Be Performed, By The Celebrated Cooper Opera Troupe!",Cooper Opera Troupe,,Broadsides Collection,Entertainment,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4tm73t87,,
The Harvest Home,1859,The Harvest Home,Charles Wright,The Harvest Home (farm/ homestead),Advertising Ephemera Collection,Real Estate,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4bc3vn7b,on Sale by Owner,
University of Pennsylvania Medical Department,1859,University of Pennsylvania Medical Department,University of Pennsylvania,,Broadsides Collection,"Price List, Education",,,advertisements,https://idn.duke.edu/ark:/87924/r48c9sv2f,,
1880! A Great Opportunity 1880!,1860,1880! A Great Opportunity 1880!,Illustrated Household Magazine,,Broadsides Collection,Magazines and Newspapers,,,advertisements,https://idn.duke.edu/ark:/87924/r4xs5m70v,advertisement for agents.,
A Campaign Paper,1860,A Campaign Paper,Evening Sentinel,,Broadsides Collection,Magazines and Newspapers,,,advertisements,https://idn.duke.edu/ark:/87924/r4q52h440,bilingual page with English and French.,
A Prime Gang Of 158 Negroes.  By Louis D. DeSaussure.,1860,A Prime Gang Of 158 Negroes.  By Louis D. DeSaussure.,T. Bennett Lucas,,Broadsides Collection,"Children, African/African-American, Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r4ks6kt3s,list of slaves ages and abilities.,
Auction Sale.  Sugar and Syrup,1860,Auction Sale.  Sugar and Syrup,Hathaway & Co.,,Broadsides Collection,Food,,,advertisements,https://idn.duke.edu/ark:/87924/r4qf8mb6x,F-347   ad for sugar and syrup auction,
Charleston Hotel,1860,Charleston Hotel,Charleston Hotel,,Broadsides Collection,"Price List, Hotels and Restaurants",,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r4cz33t9m,blue ink used too.,
Cucumber Pumps,1860,Cucumber Pumps,"Plummer, Younger & Co.",,Broadsides Collection,Machinery and Tools,,,advertisements,https://idn.duke.edu/ark:/87924/r4v40mr10,includes testimony from people in Virginia and North Carolina,
