name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
Poster Advertising,1910,,"Kuppenheimer Clothes, National Biscuit Company, Cluett, Peabody & Co. Arrow Collars, Turkish Tobacco, Military and Athletic Tournament at Madison Square Garden, ""Lowneys Chocolate Bonbons"", Gold Dust Cleaning Powder, Cottolene, Chiclets, ""Glidden Varnish Companys Jap-A-Lac"", United States Army, Quaker Wheat Berries, ""Armours Extract of Beef"", Pabst Blue Ribbon, Bull Durham Smoking Tobacco, Fairy Soap, Red Spot Cigar, Regal Shoes, K-T-C, E-C Corn Flakes, ""Wrigleys Spearmint Pepsin Gum"", Red Seal White Lead and Pure Linseed Oil, Old Whiskey, Anheuser-Busch, St. Charles Cream, Carnation Milk, Quaker Corn Meal, ""Kelloggs Toasted Corn Flakes"", Duke Of York Egyptian Cigarettes, Clothcraft, American Radiator Company",,Early Advertising Publications,"Children, Middle East/Arab",,,advertisements,https://idn.duke.edu/ark:/87924/r4fb4z92n,Full color examples of advertisements. Children very prominent. Some companies represented more than once; E q#1635. Images of selected pages from this item are available. Chapter headings:  Why Bill-Posting Is A Good Medium -  Copy and Sketches -  Comments On Posters -  Color Reproductions of Actual Posters. Various -  Color Reproductions: Uneeda Biscuit -  Color Reproductions: Gold Dust Twins -  Color Reproductions: United States Army -  Color Reproductions: Cottolene -  Color Reproductions: Chiclets -  Color Reproductions: Jap-A-Lac -  Color Reproductions: Quaker Wheat Berries -  Color Reproductions: Armours Extract of Beef -  Color Reproductions: Pabst -  Color Reproductions: Bull Durham Smoking Tobacco -  Color Reproductions: Fairy Soap -  Value and Harmony of Colors -  Connecting Poster Advertising With Sales -  General Hints To The Poster Advertiser -  General Hints To The Bill-Poster -  Comments on Posters -  Color Reproductions of Actual Posters. Red Spot Cigars -  Color Reproductions: Regal Shoes -  Color Reproductions: K-T-C -  Color Reproductions: Toasted Corn Flakes -  Color Reproductions: Wrigleys Gum -  Color Reproductions: Kuppenheimer Clothes -  Color Reproductions: Dutch Boy Paints -  Color Reproductions: Old Underoof Whiskey -  Color Reproductions: Budweiser -  Color Reproductions: St. Charles Cream -  Color Reproductions: Carnation Milk -  Color Reproductions: Quaker Corn Meal -  Color Reproductions: Duke of York Cigarettes -  Color Reproductions: Clothcraft -  Color Reproductions: American Radiator Company -  Cost of Posting By States -  Official List Associated Bill-Posters.,
Speed Pictures- Kodak Convenience.  No. 1 Speed Kodak,1910,Speed Pictures- Kodak Convenience.  No. 1 Speed Kodak,Kodak,"Kodak camera, No. 1A",Ellis Collection of Kodakiana (1886-1923),"Premiums, Sports",Country Life in America,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4dv1ff00,,
Take a Kodak with you,1910,Take a Kodak with you,Kodak,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),Premiums,Success,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4z03114p,,
Take a Kodak with you,1910,Take a Kodak with you,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Premiums, Sports",Colliers Weekly,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4dz04s88,"""Color"" photograph",
"The ""Tornado"" Tubular Silo",1910,"The ""Tornado"" Tubular Silo",W. R. Harrison & Co.,"""Tornado"" Tubular Silo",Advertising Ephemera Collection,Farm Machinery,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4rb6xt11,,
The Charm of Refined Beauty,1910,The Charm of Refined Beauty,Ponds Extract Co.,Ponds Vanishing Cream,Ponds,Premiums,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4765c57c,Illustration: picture is integrated into black and white drawing,
The Pocket Premo C,1910,The Pocket Premo C,Kodak,Pocket Premo C cameras,Ellis Collection of Kodakiana (1886-1923),Military,Success,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4qn6119m,,
To Aid Beauty.,1910,To Aid Beauty.,Ponds Extract Co.,Ponds Vanishing Cream,Ponds,"Premiums, Testimonial--Olga Nethersole",unknown,newspapers,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4rj4bk72,"photo of Miss Olga Nethersole, ""without question the greatest exponent of dramatic art""",
While Waiting For The Doctor Use Ponds Extract,1910,While Waiting For The Doctor Use Ponds Extract,Ponds Extract Co.,Ponds Extract,Ponds,Premiums,unknown,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r44b2zw4p,,
Your Vacation Film,1910,Your Vacation Film,Kodak,Kodak film,Ellis Collection of Kodakiana (1886-1923),Premiums,Country Life in America,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4cj89c8j,,
Best New Books,circa 1910,Best New Books,Macmillan Co.,"Novels, Juveniles, Travel, Biography, etc.",Advertising Ephemera Collection,"Price List, Books and Publishing",,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4dn41k4t,"authors include Jack London, Jane Addams, and James L. Bryce",
Craig Hall,circa 1910,Craig Hall,Craighead and Craighead,Hotels,Advertising Ephemera Collection,"Resorts, Hotels, Travel",,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4f767x37,small calendar affixed to the front of the booklet.,
The Grand Opera House Program,circa 1910,The Grand Opera House Program,assorted companies,assorted products,Advertising Ephemera Collection,"Music, Concerts",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r41g0kj1w,includes program information and advertisements,
The Sterling Grocery,circa 1910,The Sterling Grocery,Sterling Grocery,Sterling Grocery,Advertising Ephemera Collection,Mercantile Business,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r41j9921d,side of building has add for Monopole Canned and Glass Foods.,
"""Kook Kwick"" Pressure Cooker Recipes",circa 1910 to circa 1919,,"Sears, Roebuck & Co.","""Kook Kwick"" Pressure Cooker",Nicole Di Bona Peterson Collection of Advertising Cookbooks,Small Appliances,,,advertisements,https://idn.duke.edu/ark:/87924/r4df6mr6r,"instructions on how to be an efficient housewife -- eliminate useless form; mentions the modern woman, emphasis on housekeeping being a science (defined as home economics). Images of selected pages from this item are available. Chapter headings:  The ֳ¢ג‚¬ֵ“Kook Kwickֳ¢ג‚¬ֳ¹ Pressure Cooker as a Household Economy -  Serving the Family Meal -  The Efficient Housewife -  General Description of the Cooker and its parts -  Roasting, Baking, Simultaneous Cooking; 20 Menus for ֳ¢ג‚¬ֵ“Kook Kwickֳ¢ג‚¬ֳ¹ Dinners -  Cereals and Soups -  Fish, Meats and Beef -  Canning -  Chicken, Ham, Pork, Mutton, Lamb and Veal, Sauces.",
A Special Offer to Every Expectant Mother,circa 1910 to circa 1919,A Special Offer to Every Expectant Mother,Lane Bryant,clothes - Maternity Apparel,Advertising Ephemera Collection,"Children, Price List, Health and Patent Medicines",,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4gh9d277,"also a store in Chicago.  Ad includes a coupon for Gentlemen to order their wives a sterilized maternity outfit ""containing every article needed at confinement.""",
"Cook Book: ""New Process"" Wick Oil Cook Stove",circa 1910 to circa 1919,,American Stove Co,"""New Process"" Wick Oil Cook Stoves",Nicole Di Bona Peterson Collection of Advertising Cookbooks,"Children, Large Appliances",,,advertisements,https://idn.duke.edu/ark:/87924/r46971m1n,"Poor condition. Women and technology: new appliance for ""comfort and convenience."" Images of each page from this item are available. Chapter headings:  Pages 2 - 3: Stove Models -  Pages 4 - 5: Stove Models -  Pages 6 - 7: Stove Models -  Pages 8 - 9: Stove Models -  Pages 10 - 11: Stove Models; How to Operate...; -  Pages 12 - 13: Stove Models; How to Operate...; -  Pages 14 - 15: Stove Models; How to Operate...; Details of Construction; -  Pages 16 - 17: Stove Models; Details of Construction; -  Pages 18 - 19: Stove Models; Details of Construction; -  Pages 20 - 21: Stove Models; Details of Construction; -  Pages 22 - 23: Stove Models; Details of Construction; Repairs; -  Pages 24 - 25: Stove Models; War Time Recipes -  Pages 26 - 27: War Time Recipes -  Pages 28 - 29: War Time Recipes -  Pages 30 - 31: War Time Recipes -  Pages 32 - 33: War Time Recipes; Breads -  Pages 34 - 35: Breads -  Pages 36 - 37: Cakes and Cookies -  Pages 38 - 39: Cakes and Cookies -  Pages 40 - 41: Candies -  Pages 42 - 43: Desserts -  Pages 44 - 45: Desserts; Meats -  Pages 46 - 47: Meats; Salads -  Pages 48 - 49: Soups; Vegetables -  Pages 50 - 51: Vegetables -  Pages 52 - 53: Vegetables; The Keeping of Vegetables and Fruits -  Pages 54 - 55: Home Preservation of Eggs (and Insert) -  Pages 56 - 57: Helpful Hints For Hustling Housekeepers -  Pages 58 - 59: Helpful Hints For Hustling Housekeepers -  Pages 60 - 61: Helpful Hints For Hustling Housekeepers; Tables -  Pages 62 - 63: Time Tables -  Pages 64: Classifications of Foods.",
Cupid at Home in the Kitchen,circa 1910 to circa 1919,,Michigan Stove Company,Garland Stoves and Ranges,Nicole Di Bona Peterson Collection of Advertising Cookbooks,"Children, Large Appliances",,,advertisements,https://idn.duke.edu/ark:/87924/r4222sv1b,Includes short story about woman at a dinner party finding love and resulting conversations about kitchen management; illustrations of stoves and equipment. Children are figures of Cupid. Images of each page from this item are available. Chapter headings:  Cupid at Home in the Kitchen -  Mrs. Potters Recipes -  Advertisements -  Back Cover.,
Detroit Electric Cars,circa 1910 to circa 1919,Detroit Electric Cars,Detroit Electric Cars,Detroit Electric,Advertising Ephemera Collection,Autos and Roads,,,advertisements,https://idn.duke.edu/ark:/87924/r4mp4xc7j,"J. F. Hayden, agent, High Point, NC",
Funsten,circa 1910 to circa 1919,Funsten,R. E. Funsten Dried Fruit and Nut Co.,Fruits and Nuts (Funsten Dried),Advertising Ephemera Collection,Food,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r49p2xw0b,includes photographs of founders and products.,
"Have You Seen The Smashing Hit ... Emmet Corrigan In The New Play ""Keegans Pal""",circa 1910 to circa 1919,"Have You Seen The Smashing Hit ... Emmet Corrigan In The New Play ""Keegans Pal""",Chicago Opera House,Keegans Pal,Advertising Ephemera Collection,Drama,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4f47jh3x,,
Jell-O:  Americas Most Famous Dessert,circa 1910 to circa 1919,,Genesee Pure Food Co.,Jell-O,Nicole Di Bona Peterson Collection of Advertising Cookbooks,"Children, Gelatin/Puddings",,,advertisements,https://idn.duke.edu/ark:/87924/r4g738s31,"seven flavors, 10 cents a package, children love Jell-O, endorsements from Marion Harland, Mrs. Rorer; special recipes from Janet McKenzie Hill, Sarah Tyson Rorer; Selling points-ease of preparation for inexperienced/busy housewives; economical cost. Images of each page from this item are available. Chapter headings:  The Easy-Made Jell-O Desserts -  To Make a Jell-O Dessert; Jell-O and Fruit -  Jell-O Recipes -  Jell-O Ice Cream Powder -  How to Make Ice Cream -  Back Cover.",
Napoleon Hills...Think and Grow Rich,circa 1910 to circa 1919,Napoleon Hills...Think and Grow Rich,Napoleon Hills Post-Graduate Course,The Law of Success,Advertising Ephemera Collection,Books and Publishing,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r47m05q0x,there is also a drawing of the books (red). also includes photograph and endorsement from Pres. Taft for Law of Success.,
Oysters and How to Cook Them: 100 Delicious Meals at One Half the Cost of Meat,circa 1910 to circa 1919,,Oyster Growers and Dealers Association of North America,Oysters,Nicole Di Bona Peterson Collection of Advertising Cookbooks,"Children, Meat/Fish/Poultry",,,advertisements,https://idn.duke.edu/ark:/87924/r42z14c09,Cover illustration of a young family. Internal illustrations of the history of oysters as food. Images of selected pages from this item are available. Chapter headings:  The High Cost of Living Can Be Greatly Reduced by Eating Oysters More Frequently -  Food Value of the Oyster -  Oyster Propagation and Culture -  Prizes for Oyster Recipes -  Tasty Recipes -  Dainty Meals -  Back Cover.,
Peerless Auto Horn,circa 1910 to circa 1919,Peerless Auto Horn,Angsten-Koch Co.,Peerless Auto Horn,Advertising Ephemera Collection,Autos and Roads,,,"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4x63cw39,,
"Recipes for Dainty Dishes:  Culinary, Toilet, and Medicinal Hints",circa 1910 to circa 1919,,California Fruit Growers Exchange,Sunkist oranges and lemons,Nicole Di Bona Peterson Collection of Advertising Cookbooks,Fruits,,,advertisements,https://idn.duke.edu/ark:/87924/r4cf9kv8g,"support by Dr. Harvey W. Wiley (chief of Bureau of Chemistry and Department of Agriculture) of beneficial and nutritional value of lemons and oranges; includes premium silverware by William Rogers Mfg. Co., to be bought by sending specified amounts of one-cent postage. Images of each page from this item are available. Chapter headings:  ""Sunkist"" Lemons -  People Should Eat Plenty of Oranges, says Dr. Harvey W. Wiley; Culinary -  Culinary; Recipes -  Culinary (cont.); For Health -  For Health (cont.); Information regarding our premiums -  Premiums (cont.); On her dressing table -  Miscellaneous Uses; Dressing Table (cont.) -  Some Orange Delicacies -  Delicacies (cont.); Mineral Contents and Comparative Analysis of California Oranges and Lemons.",
Taste the Taste and Some Cookery News,circa 1910 to circa 1919,,W. M. Underwood Co.,"Underwoods deviled meats (ham, chicken, etc.)",Nicole Di Bona Peterson Collection of Advertising Cookbooks,Meat/Fish/Poultry,,,advertisements,https://idn.duke.edu/ark:/87924/r4862d086,"photographs, captions telling story of a woman who saves the day with Deviled Meats when confronted with no servants and unexpected guests; long introduction on why is handiest, cleanest, best; recipes from various cooking schools, Janet M. Jill, Mrs. B. Taylor, Miss Emma Moore, Mrs. E. W. Allen, Mrs. L. B. Fink, Dorsey M. Reed, Alma Sawyer, Jennie Chapin, Mrs. J. D. Cole. Images of selected pages from this item are available. Chapter headings:  Introduction -  Photo Essay -  Photo Essay (cont.); Choice Morsel Cookery.",
Wesson Oil,circa 1910 to circa 1919,,Southern Cotton Oil Co.,Wesson Oil,Nicole Di Bona Peterson Collection of Advertising Cookbooks,Shortening,,,advertisements,https://idn.duke.edu/ark:/87924/r4xs5m56v,"pamphlet with simple illustrations (one on each page) of uses: pastry, frying, french dressing, and mayonnaise. Images of each page from this item are available. Chapter headings:  For Wholesome Frying; For Pastry -  For Delicious French Dressing.",
A Fresh Radiant Complexion,1911,A Fresh Radiant Complexion,Ponds Extract Co.,Ponds Vanishing Cream,Ponds,Premiums,unknown,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4vm44n54,also advertises Ponds Extract,
A Kodak Lesson from Motion Pictures,1911,A Kodak Lesson from Motion Pictures,Kodak,Kodak film,Ellis Collection of Kodakiana (1886-1923),,Saturday Evening Post,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4rj4bn31,Illustration is a picture of a film reel,
Advance Spring Selections,1911,Advance Spring Selections,Stern Bros.,womens clothings and fine linen,Advertising Ephemera Collection,"Price List, Clothing",,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4tx36w5h,leaflet and envelope,
All out-doors invites your Kodak,1911,All out-doors invites your Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Pictorial Review,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4v40mp51,,
All out-doors invites your Kodak,1911,All out-doors invites your Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Ladies Home Journal,magazines (periodicals),"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4nz82h3n,,
All out-doors invites your Kodak,1911,All out-doors invites your Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,unknown,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4zs2n441,,
All out-doors invites your Kodak,1911,All out-doors invites your Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Uncle Remus Home Magazine,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r42b8x47h,,
All out-doors invites your Kodak,1911,All out-doors invites your Kodak,Kodak,Kodak and Brownie cameras,Ellis Collection of Kodakiana (1886-1923),"Children, Premiums",Delineator,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4w952f0s,Mother with children taking pictures.,
All out-doors invites your Kodak,1911,All out-doors invites your Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,Life,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4pc2w20g,,
All out-doors invites your Kodak,1911,All out-doors invites your Kodak,Kodak,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Country Life in America,magazines (periodicals),"advertisements, photographs",https://idn.duke.edu/ark:/87924/r4wm15j8t,"""Color"" photograph",
